iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,MAE,MSE,RMSE
0,2,3,False,No,0.8419585312883036,1.1078750565018558,1.0525564386301838
1,2,3,False,No,0.8401750857064574,1.1014852451605393,1.049516672168927
2,2,3,False,No,0.8056765190621146,1.004968277105099,1.0024810607213979
3,2,3,False,No,0.8508476094005303,1.1281638822968358,1.0621505930407589
4,2,3,False,No,0.8339196515632031,1.105829324294247,1.0515841974346358
5,2,3,False,No,0.7886105807574046,0.9651399784649847,0.98241537979868
6,2,3,False,No,0.8505331573180402,1.1216199217070772,1.0590655889542806
7,2,3,False,No,0.8608195026111987,1.1673957210355421,1.0804608836212175
8,2,3,False,No,0.8573310955576496,1.1422348649350897,1.0687538841731008
9,2,3,False,No,0.8493835122835922,1.1157031706954312,1.0562685125930011
10,2,3,False,No,0.8466429607359846,1.130508419984211,1.0632536950249507
11,2,3,False,No,0.8490155723891502,1.128887934876721,1.0624913810834988
12,2,3,False,No,0.8272720153277572,1.0785618618459571,1.0385383295025548
13,2,3,False,No,0.8453526252111603,1.1285929312239529,1.0623525456381948
14,2,3,False,No,0.8657036447374884,1.1510405064600746,1.0728655584275575
15,2,3,False,No,0.851172139206453,1.1224706231265345,1.059467141126394
16,2,3,False,No,0.8460571082216761,1.1046875721119864,1.05104118478392
17,2,3,False,No,0.8399246018210635,1.10165734699593,1.049598659962907
18,2,3,False,No,0.8529913166622474,1.1503212684524078,1.0725303112044935
19,2,3,False,No,0.8366588845407319,1.0890292478815138,1.0435656413860672
20,2,3,False,No,0.8646920620352142,1.1515817953709093,1.073117791936612
21,2,3,False,No,0.8474075089981257,1.1277398512983872,1.0619509646393224
22,2,3,False,No,0.8573107587535588,1.2781275414938618,1.130543029474713
23,2,3,False,No,0.8459466075092067,1.10582140139846,1.0515804303040543
